Intercity Trains (Meter Gauge & Dual Gauge) ,,,,,,,
SL no,Train no ,Name of Trains ,Off-day ,Starting station ,,Arrival station & Arrival time ,
88,Noakhali Comuter ,Friday ,Noakhali ,17:30,Laksam ,19:10,
89,Noakhali Comuter ,Friday ,Comilla ,14:10,Noakhali ,17:10,
Down ,Comilla Comuter ,Saturday ,Akhaura ,4:50,Comilla ,5:45,
89,,,,,,,
90,Comilla Comuter ,Tuesday ,Comilla ,6:00,Dhaka ,11:30,
90 Up ,Comilla Comuter ,Monday ,Dhaka ,13:30,Comilla ,19:00,
91,Comilla Comuter ,Friday ,Comilla ,19:30,Akhaura ,21:00,
92,Mymensingh Comuter ,Wednesday ,Joydebpur ,12:50,Mymensingh ,15:10,
93,Mymensingh Comuter ,Thursday ,Mymensing ,9:40,Joydebpur ,12:35,
94,Sylhet Comuter ,Friday ,Akhaura ,15:30,Sylhet ,21:55,
Turag/1 ,Sylhet Comuter ,Friday ,Sylhet ,7:30,Akhaura ,13:00,
Turag/2 ,Turag Express ,Friday ,Dhaka ,5:10,Joydebpur ,6:25,
Turag/3 ,Turag Express ,Friday ,Joydebpur ,7:50,Dhaka ,9:15,
Turag/4 ,Turag Express ,Friday ,Dhaka ,17:20,Joydebpur ,18:40,
,Turag Express ,Friday ,Joydebpur ,19:10,Dhaka ,20:25,
,Joydebpur Comuter-1 ,Friday ,Dhaka ,9:15,Joydebpur ,10:30,
,Joydebpur Comuter-2 ,Friday ,Joydebpur ,10:45,Dhaka ,12:00,
,Joydebpur Comuter-3 ,Friday ,Dhaka ,12:40,Joydebpur ,14:00,
,Joydebpur Comuter-4 ,Friday ,Joydebpur ,15:20,Dhaka ,17:10,
,Narayanganj Comuter- ,Friday ,Narayanga,6:25,Dhaka ,7:05,
,1,,nj ,,,,
,Narayanganj Comuter- ,Friday ,Dhaka ,5:30,Narayanganj ,6:10,
,2,,,,,,
,Narayanganj Comuter- ,Friday ,Narayanga,14:35,Dhaka ,15:20,
,3,,nj ,,,,
,Narayanganj Comuter- ,Friday ,Dhaka ,13:40,Narayanganj ,14:20,
,4,,,,,,
,Narayanganj Comuter- ,,Friday ,Narayanganj ,23:15,Dhaka ,23:55
,,5,,,,,
,Narayanganj Comuter- ,,Friday ,Dhaka ,22:20,Narayanganj ,23:05
,,6,,,,,
,Tongi Comuter-1 ,,Friday ,Dhaka ,5:25,Tongi ,6:10
,Tongi Comuter-2 ,,Friday ,Tongi ,7:55,Dhaka ,8:50
,Nazirhat Comuter-1 ,,Friday ,Chittagong ,10:30,Nazirhat ,12:30
,Nazirhat Comuter-2 ,,Friday ,Nazirhat ,13:00,Chittagong ,15:00
,Chittagong University ,,,Chittagong ,8:30,Chittagong ,9:40
,,Comuter- 1 ,,,,University ,
,Chittagong University ,,,Chittagong ,10:30,Chittagong ,11:50
,,Comuter-2 ,,University ,,,
,Chittagong University ,,,Chittagong ,13:10,Chittagong ,14:20
,,Comuter-3 ,,,,University ,
,Chittagong University ,,,Chittagong ,15:00,Chittagong ,16:15
Mail/Express Trains (Broad Gauge & Duel Gauge): ,,Comuter-4 ,,University ,,,
Sl.,,,,,,,
No: ,Train ,Name ,Off,From ,Departure ,To ,Arrival 
1,No ,,day ,,,,
,5,Rajshahi,No ,Dhaka ,11:20,Chapainawabganj ,21:45
2,,express ,,,,,
,6,Rajshahi,No ,Chapainawabganj ,8:10,Sirajgonj ,17:20
3,,express ,,,,,
,15,Mahananda ,No ,Khulna ,11:10,Chapainawabganj ,22:45
4,,Express ,,,,,
,16,Mahananda ,No ,Rahanpur ,5:40,Khulna ,17:30
5,,Express ,,,,,
,23,Rocket,No ,Khulna ,9:20,Parbatipur ,22:00
6,,express ,,,,,
,24,Rocket,No ,Parbatipur ,9:50,Khulna ,0:10
7,,express ,,,,,
,25,Nakshikantha,No ,khulna ,2:00,Goalondaghat ,11:00
8,,express ,,,,,
,26,Nakshikantha,No ,Goalondaghat ,13:00,Khulna ,22:30
9,,express ,,,,,
,27,Chilahati,No ,Parbatipur ,4:30,Chilahati ,22:30
10,,express ,,,,,
,28,Chilahati,No ,Chilahati ,7:10,Parbatipur ,9:30
11,,express ,,,,,
12,31,Uttara express ,No ,Rajshahi ,12:00,Parbatipur ,20:15
13,32,Uttara express ,No ,Parbatipur ,3:10,Rajshahi ,10:25
,53,Benapol,No ,Khulna ,7:00,Benapol ,9:30
14,,comuter ,,,,,
,54,Benapol,No ,Benapol ,12:45,Khulna ,15:30
15,,comuter ,,,,,
,57,Rajshahi,No ,Ishurdi ,7:00,Chapainawabganj ,11:20
16,,comuter ,,,,,
,58,Rajshahi,No ,Chapainawabganj ,13:00,Rajshahi ,14:40
17,,comuter ,,,,,
,77,Rajshahi,No ,Rajshahi ,15:00,Rahanpur ,17:00
18,,comuter ,,,,,
,78,Rajshahi,No ,Rahanpur ,17:20,Ishurdi ,21:15
19,,comuter ,,,,,
,,Rangpur ,No ,Parbatipur ,9:00,Lalmonirhat ,11:05
20,,Comuter-2 ,,,,,
,,Rangpur ,No ,Lalmonirhat ,11:15,Parbatipur ,13:40
21,,Comuter-1 ,,,,,
,,Thakurgaon ,No ,Parbatipur ,15:00,Thakurgaon ,18:20
22,,Comuter-1 ,,,,,
,,Thakurgaon ,No ,Thakurgaon ,18:30,Parbatipur ,21:45
,,Comuter-1 ,,,,,
